"pais","puntuacion"
"Finlandia",7.633
"Noruega",7.56
"Dinamarca",7.555
"Islandia",7.495
"Suiza",7.487
"Países Bajos",7.441
"Canadá",7.328
"Nueva Zelanda",7.324
"Suecia",7.314
"Australia",7.272
"Israel",7.19
"Austria",7.139
"Costa Rica",7.072
"Irlanda",6.977
"Alemania",6.965
"Bélgica",6.927
"Luxemburgo",6.91
"Estados Unidos",6.886
"Reino Unido",6.814
"Emiratos Árabes Unidos",6.774
"República Checa",6.711
"Malta",6.627
"Francia",6.498
"México",6.493
"Chile",6.478
"Taiwán",6.441
"Panamá",6.43
"Brasil",6.419
"Argentina",6.388
"Italia",6.382
"Uruguay",6.379
"Qatar",6.374
"Arabia Saudí",6.371
"Singapur",6.343
"Malasia",6.322
"España",6.31
"Colombia",6.26
"Trinidad y Tobago",6.192
"Eslovaquia",6.173
"El Salvador",6.167
"Honduras",6.141
"Polonia",6.123
"Baréin",6.105
"Uzbekistán",6.096
"Kuwait",6.083
"Tailandia",6.072
"Guatemala",6
"Ecuador",5.973
"Belice",5.956
"Lituania",5.952
"Eslovaquia",5.948
"Rumanía",5.945
"Letonia",5.933
"Japón",5.915
"Mauricio",5.891
"Jamaica",5.89
"Corea del Sur",5.875
"Chipre del Norte",5.835
"Rusia",5.81
"Kazajistán",5.79
"Chipre",5.762
"Bolivia",5.752
"Estonia",5.739
"Paraguay",5.681
"Perú",5.663
"Kosovo",5.662
"Moldavia",5.64
"Turkmenistán",5.636
"Hungría",5.62
"Libia",5.566
"Filipinas",5.524
"Nicaragua",5.504
"Bielorrusia",5.483
"Turquía",5.483
"Pakistán",5.472
"Hong Kong",5.43
"Portugal",5.41
"Serbia",5.398
"Grecia",5.358
"Tayikistán",5.358
"Montenegro",5.347
"Croacia",5.321
"República Dominicana",5.302
"Argelia",5.295
"Marruecos",5.254
"China",5.246
"Azerbaiyán",5.201
"Líbano",5.199
"Macedonia",5.185
"Jordania",5.161
"Nigeria",5.155
"Kirguistán",5.131
"Bosnia y Herzegovina",5.129
"Mongolia",5.125
"Vietnam",5.103
"Indonesia",5.093
"Bután",5.082
"Somalia",4.982
"Camerún",4.975
"Bulgaria",4.933
"Nepal",4.88
"Venezuela",4.806
"Gabón",4.758
"Palestina",4.743
"Sudáfrica",4.724
"Irán",4.707
"Costa de Marfil",4.671
"Ghana",4.657
"Senegal",4.631
"Laos",4.623
"Túnez",4.592
"Albania",4.586
"Sierra Leona",4.571
"República del Congo",4.559
"Bangladesh",4.5
"Sri Lanka",4.471
"Iraq",4.456
"Mali",4.447
"Namibia",4.441
"Camboya",4.433
"Burkina Faso",4.424
"Egipto",4.419
"Mozambique",4.417
"Kenia",4.41
"Zambia",4.377
"Mauritania",4.356
"Etiopía",4.35
"Georgia",4.34
"Armenia",4.321
"Myanmar",4.308
"Chad",4.301
"República Democrática del Congo",4.245
"India",4.19
"Níger",4.166
"Uganda",4.161
"Benín",4.141
"Sudán",4.139
"Ucrania",4.103
"Togo",3.999
"Guinea",3.964
"Lesoto",3.808
"Angola",3.795
"Madagascar",3.774
"Zimbabue",3.692
"Afganistán",3.632
"Botsuana",3.59
"Malawi",3.587
"Haití",3.582
"Liberia",3.495
"Siria",3.462
"Ruanda",3.408
"Yemen",3.355
"Tanzania",3.303
"Sudán del Sur",3.044
"República Centroafricana",2.849
"Burundi",2.605
